,word,word_count,new_date_x,percentage
354,coronavirus,0,2020-01-13,0.0
355,coronavirus,0,2020-01-14,0.0
356,coronavirus,0,2020-01-15,0.0
357,coronavirus,1,2020-01-16,0.0022123893805309700
358,coronavirus,2,2020-01-17,0.004201680672268910
359,coronavirus,1,2020-01-18,0.004032258064516130
360,coronavirus,0,2020-01-19,0.0
361,coronavirus,4,2020-01-20,0.008385744234800840
362,coronavirus,3,2020-01-21,0.007352941176470590
363,coronavirus,4,2020-01-22,0.011363636363636400
364,coronavirus,4,2020-01-23,0.012618296529968500
365,coronavirus,2,2020-01-24,0.009569377990430620
366,coronavirus,4,2020-01-25,0.017937219730941700
367,coronavirus,9,2020-01-26,0.03474903474903480
368,coronavirus,5,2020-01-27,0.016835016835016800
369,coronavirus,5,2020-01-28,0.01524390243902440
370,coronavirus,6,2020-01-29,0.02247191011235960
371,coronavirus,8,2020-01-30,0.029197080291970800
372,coronavirus,6,2020-01-31,0.020618556701030900
373,coronavirus,7,2020-02-01,0.03111111111111110
374,coronavirus,5,2020-02-02,0.02702702702702700
375,coronavirus,5,2020-02-03,0.01141552511415530
376,coronavirus,16,2020-02-04,0.03571428571428570
377,coronavirus,10,2020-02-05,0.022988505747126400
378,coronavirus,13,2020-02-06,0.03132530120481930
379,coronavirus,16,2020-02-07,0.03404255319148940
380,coronavirus,5,2020-02-08,0.01838235294117650
381,coronavirus,9,2020-02-09,0.035856573705179300
382,coronavirus,16,2020-02-10,0.03143418467583500
383,coronavirus,9,2020-02-11,0.0225
384,coronavirus,7,2020-02-12,0.017412935323383100
385,coronavirus,5,2020-02-13,0.010040160642570300
386,coronavirus,1,2020-02-14,0.0023584905660377400
387,coronavirus,6,2020-02-15,0.024193548387096800
388,coronavirus,2,2020-02-16,0.007462686567164180
389,coronavirus,1,2020-02-17,0.0023148148148148100
390,coronavirus,2,2020-02-18,0.004338394793926250
391,coronavirus,4,2020-02-19,0.008456659619450320
392,coronavirus,2,2020-02-20,0.0041753653444676400
393,coronavirus,8,2020-02-21,0.014760147601476000
394,coronavirus,0,2020-02-22,0.0
395,coronavirus,1,2020-02-23,0.0033444816053511700
396,coronavirus,4,2020-02-24,0.007352941176470590
397,coronavirus,6,2020-02-25,0.013303769401330400
398,coronavirus,5,2020-02-26,0.010330578512396700
399,coronavirus,5,2020-02-27,0.009940357852882700
400,coronavirus,5,2020-02-28,0.01006036217303820
401,coronavirus,3,2020-02-29,0.010309278350515500
402,coronavirus,3,2020-03-01,0.009345794392523360
403,coronavirus,4,2020-03-02,0.007905138339920950
404,coronavirus,5,2020-03-03,0.010351966873706000
405,coronavirus,8,2020-03-04,0.014209591474245100
406,coronavirus,5,2020-03-05,0.010869565217391300
407,coronavirus,10,2020-03-06,0.02
408,coronavirus,4,2020-03-07,0.013289036544850500
409,coronavirus,2,2020-03-08,0.007168458781362010
410,coronavirus,5,2020-03-09,0.008620689655172410
411,coronavirus,6,2020-03-10,0.012711864406779700
412,coronavirus,6,2020-03-11,0.012396694214876000
413,coronavirus,5,2020-03-12,0.010615711252653900
414,coronavirus,5,2020-03-13,0.008928571428571430
415,coronavirus,4,2020-03-14,0.012903225806451600
416,coronavirus,6,2020-03-15,0.022813688212927800
417,coronavirus,3,2020-03-16,0.005870841487279840
418,coronavirus,4,2020-03-17,0.008583690987124460
419,coronavirus,6,2020-03-18,0.01125703564727960
420,coronavirus,5,2020-03-19,0.011037527593819000
421,coronavirus,4,2020-03-20,0.008771929824561400
422,coronavirus,4,2020-03-21,0.013651877133105800
423,coronavirus,6,2020-03-22,0.016853932584269700
424,coronavirus,7,2020-03-23,0.01417004048583000
