,count_in_china_andothers,word_in_china_andothers,datechina_andothers,count_in_onlyworld,word_in_onlyworld,dateonlyworld,count_in_onlychina,word_in_onlychina,dateonlychina,count_in_all,word_in_all,dateall,percent_in_china_andothers,word_in_china_andothers_y,datechina_andothers_y,percent_in_only_world,word_in_only_world,dateonly_world,percent_in_only_china,word_in_only_china,dateonly_china
117,0,two,2020-01,3,two,2020-01,7,two,2020-01,24,two,2020-01,0.0,two,2020-01,0.000586739683160571,two,2020-01,0.0013690592607080000,two,2020-01
118,1,two,2020-02,2,two,2020-02,8,two,2020-02,26,two,2020-02,0.003787878787878790,two,2020-02,0.00033932813030200200,two,2020-02,0.0013573125212080100,two,2020-02
119,3,two,2020-03,3,two,2020-03,11,two,2020-03,32,two,2020-03,0.003952569169960470,two,2020-03,0.0006038647342995170,two,2020-03,0.002214170692431560,two,2020-03
120,0,billion,2020-01,2,billion,2020-01,22,billion,2020-01,30,billion,2020-01,0.0,billion,2020-01,0.00039115978877371400,billion,2020-01,0.004302757676510860,billion,2020-01
121,1,billion,2020-02,2,billion,2020-02,26,billion,2020-02,32,billion,2020-02,0.003787878787878790,billion,2020-02,0.00033932813030200200,billion,2020-02,0.004411265693926030,billion,2020-02
122,0,billion,2020-03,2,billion,2020-03,10,billion,2020-03,19,billion,2020-03,0.0,billion,2020-03,0.00040257648953301100,billion,2020-03,0.002012882447665060,billion,2020-03
123,0,xi,2020-01,0,xi,2020-01,21,xi,2020-01,40,xi,2020-01,0.0,xi,2020-01,0.0,xi,2020-01,0.0041071777821240000,xi,2020-01
124,0,xi,2020-02,1,xi,2020-02,8,xi,2020-02,17,xi,2020-02,0.0,xi,2020-02,0.00016966406515100100,xi,2020-02,0.0013573125212080100,xi,2020-02
125,0,xi,2020-03,2,xi,2020-03,11,xi,2020-03,24,xi,2020-03,0.0,xi,2020-03,0.00040257648953301100,xi,2020-03,0.002214170692431560,xi,2020-03
126,1,mainland,2020-01,0,mainland,2020-01,5,mainland,2020-01,6,mainland,2020-01,0.0031847133757961800,mainland,2020-01,0.0,mainland,2020-01,0.0009778994719342850,mainland,2020-01
127,2,mainland,2020-02,1,mainland,2020-02,38,mainland,2020-02,40,mainland,2020-02,0.007575757575757580,mainland,2020-02,0.00016966406515100100,mainland,2020-02,0.006447234475738040,mainland,2020-02
128,1,mainland,2020-03,0,mainland,2020-03,33,mainland,2020-03,34,mainland,2020-03,0.0013175230566534900,mainland,2020-03,0.0,mainland,2020-03,0.006642512077294690,mainland,2020-03
129,0,local,2020-01,2,local,2020-01,4,local,2020-01,8,local,2020-01,0.0,local,2020-01,0.00039115978877371400,local,2020-01,0.0007823195775474280,local,2020-01
130,2,local,2020-02,18,local,2020-02,7,local,2020-02,36,local,2020-02,0.007575757575757580,local,2020-02,0.003053953172718020,local,2020-02,0.0011876484560570100,local,2020-02
131,1,local,2020-03,14,local,2020-03,6,local,2020-03,36,local,2020-03,0.0013175230566534900,local,2020-03,0.002818035426731080,local,2020-03,0.0012077294685990300,local,2020-03
132,1,announced,2020-01,4,announced,2020-01,5,announced,2020-01,14,announced,2020-01,0.0031847133757961800,announced,2020-01,0.0007823195775474280,announced,2020-01,0.0009778994719342850,announced,2020-01
133,1,announced,2020-02,9,announced,2020-02,7,announced,2020-02,28,announced,2020-02,0.003787878787878790,announced,2020-02,0.001526976586359010,announced,2020-02,0.0011876484560570100,announced,2020-02
134,0,announced,2020-03,12,announced,2020-03,8,announced,2020-03,37,announced,2020-03,0.0,announced,2020-03,0.0024154589371980700,announced,2020-03,0.001610305958132050,announced,2020-03
